SN       RA           DEC          z    zerr   maxmag maxerr filter mag magerr Ia cc 
2023adzg 10:00:28.671 +02:27:23.58 0.30 (0.09) 27.30 (0.13) F115W – – –
2023adza 10:00:28.517 +02:27:26.43 0.30 (0.15) 26.00 (0.08) F115W 26.40 (0.08) – –
2023adzb 10:00:28.763 +02:27:28.14 0.26 (0.13) 25.60 (0.05) F115W 26.00 (0.05) – –
2023aeaz 10:00:17.636 +02:17:33.73 0.25 (0.14) 27.60 (0.10) F150W 27.60 (0.10) – –
2023adzf 10:00:28.030 +02:28:20.46 0.17 (0.07) 27.30 (0.07) F150W 27.30 (0.07) – –
2023aear 10:00:29.417 +02:17:10.03 0.11 (0.05) 26.00 (0.03) F115W 26.10 (0.02) 1.60 –
2023adzu 10:00:33.048 +02:21:00.96 0.06 (0.04) 27.40 (0.07) F150W 27.40 (0.07) – –
2023aeae 10:00:36.699 +02:20:58.98 0.06 (0.06) 26.40 (0.06) F115W 27.00 (0.06) – –
2023aead 10:00:37.010 +02:20:37.63 0.06 (0.04) 27.40 (0.08) F150W 28.00 (0.13) – –
2023adzk 10:00:41.600 +02:24:15.36 0.03 (0.06) 27.90 (0.24) F150W 27.90 (0.24) – –
2023adzl 10:00:41.177 +02:19:47.82 0.01 (0.06) 24.40 (0.01) F150W 24.40 (0.01) – –
2023adzv 10:00:28.871 +02:21:03.58 0.01 (0.06) 28.10 (0.25) F150W 28.10 (0.25) – –
2023aeaj 10:00:42.706 +02:14:59.40 0.01 (0.06) 27.60 (0.14) F150W 27.60 (0.14) – –
